site,title,author,url
Project Gutenberg Australia,"Billy Budd, Sailor (An inside narrative)",Herman Melville,http://gutenberg.net.au/ebooks06/0608511.txt
Project Gutenberg Australia,Billy's Xmas,Fred M. White,http://gutenberg.net.au/ebooks12/1203221.txt
Project Gutenberg Australia,Bindle: Some Chapters in the Life of Joseph Bindle,Herbert Jenkins (1876-1923),http://gutenberg.net.au/ebooks08/0800041.txt
Project Gutenberg Australia,"Birds, Beasts and Flowers (1923)",D H Lawrence,http://gutenberg.net.au/ebooks09/0900321.txt
Project Gutenberg Australia,Black Coffee,Jeffery Farnol,http://gutenberg.net.au/ebooks06/0608951.txt
Project Gutenberg Australia,Black Light (1930),Talbot Mundy,http://gutenberg.net.au/ebooks06/0609211.txt
Project Gutenberg Australia,Black Magic,Marjorie Bowen,http://gutenberg.net.au/ebooks06/0605181.txt
Project Gutenberg Australia,Black Market,Arthur Gask,http://gutenberg.net.au/ebooks12/1203921.txt
Project Gutenberg Australia,Blackmail!,Fred M White,http://gutenberg.net.au/ebooks13/1305411.txt
Project Gutenberg Australia,Bladys of the Stewponey,Sabine Baring-Gould,http://gutenberg.net.au/ebooks06/0605161.txt
Project Gutenberg Australia,Blind,Fred M White,http://gutenberg.net.au/ebooks12/1200341.txt
Project Gutenberg Australia,Blinky Bill,Dorothy Wall,http://gutenberg.net.au/ebooks04/0400571.txt
Project Gutenberg Australia,Blinky Bill Grows Up,Dorothy Wall,http://gutenberg.net.au/ebooks04/0400591.txt
Project Gutenberg Australia,Blinky Bill and Nutsy,Dorothy Wall,http://gutenberg.net.au/ebooks04/0400581.txt
Project Gutenberg Australia,"Bliss, and Other Stories",Katherine Mansfield,http://gutenberg.net.au/ebooks15/1500141.txt
Project Gutenberg Australia,Bloody Blanche,Marcel Schwob,http://gutenberg.net.au/ebooks06/0606371.txt
Project Gutenberg Australia,Blue Hand (1925),Edgar Wallace,http://gutenberg.net.au/ebooks07/0701031.txt
Project Gutenberg Australia,Bones of the River,Edgar Wallace,http://gutenberg.net.au/ebooks10/1000201.txt
Project Gutenberg Australia,Boomerang (1932),Helen Simpson,http://gutenberg.net.au/ebooks08/0800611.txt
Project Gutenberg Australia,Bosambo Of The River (1914),Edgar Wallace,http://gutenberg.net.au/ebooks09/0900081.txt
Project Gutenberg Australia,"Boscobel, or the Royal Oak",William Harrison Ainsworth,http://gutenberg.net.au/ebooks06/0602941.txt
Project Gutenberg Australia,"Botany Bay, True Tales of Early Australia",John Lang,http://gutenberg.net.au/ebooks06/0607441.txt
Project Gutenberg Australia,"Branded, or, The Daughters of a Convict",Gerald Biss,http://gutenberg.net.au/ebooks13/1305101.txt
Project Gutenberg Australia,Brat Farrar (1949),"Tey, Josephine [Elizabeth MacKintosh] (1896-1952)",http://gutenberg.net.au/ebooks08/0800471.txt
Project Gutenberg Australia,Brayton's Secret,Fred M. White,http://gutenberg.net.au/ebooks12/1201281.txt
