85,A Genius in the Family,Hiram Percy Maxim (1869-1936),http://gutenberg.net.au/ebooks09/0900131.txt
86,A Gent From Bear Creek (Short Story),Robert E. Howard,http://gutenberg.net.au/ebooks06/0608621.txt
87,A Gentle Ghost and other stories,Mary Eleanor Wilkins Freeman,http://gutenberg.net.au/ebooks06/0605531.txt
88,A Ghost Story and others,Lafcadio Hearn,http://gutenberg.net.au/ebooks06/0605741.txt
89,A Glimpse of the Sinless Star,George Griffith,http://gutenberg.net.au/ebooks06/0602311.txt
90,A Golden Argosy,Fred M. White,http://gutenberg.net.au/ebooks12/1200161.txt
91,A Grief Observed,"Lewis, C. S. [Clive Staples] (1898-1963)",https://gutenberg.ca/ebooks/lewiscs-agriefobserved/lewiscs-agriefobserved-00-t.txt
92,A Handful of Dust,"Waugh, Evelyn [Arthur Evelyn St John] (1903-1966)",https://gutenberg.ca/ebooks/waughe-handfulofdust/waughe-handfulofdust-00-t.txt
93,A Hind in Richmond Park (1923),W. H. Hudson,http://gutenberg.net.au/ebooks03/0300641.txt
94,A History of Chinese Literature,Herbert A Giles,http://gutenberg.net.au/ebooks08/0800151.txt
95,A History of the Canadian Pacific Railway,"Innis, Harold Adams (1894-1952)",https://gutenberg.ca/ebooks/innis-historyofthecpr/innis-historyofthecpr-00-t.txt
96,A Honeymoon In Space,George Griffith,http://gutenberg.net.au/ebooks06/0602461.txt
97,A Joyous Adventure,"Baroness Orczy [Orczy, Emmuska] (1865-1947)",https://gutenberg.ca/ebooks/orczye-joyousadventure/orczye-joyousadventure-00-t.txt
98,A King by Night,"Wallace, Richard Horatio Edgar (1875-1932)",https://gutenberg.ca/ebooks/wallacee-kingbynight/wallacee-kingbynight-00-t.txt
99,A Knife for the Juggler,"Coles, Manning [pseudonym of",https://gutenberg.ca/ebooks/colesm-knifeforthejuggler/colesm-knifeforthejuggler-00-t.txt
100,A Knight of Spain,Marjorie Bowen (1888-1952),http://gutenberg.net.au/ebooks08/0801141.txt
101,A Lantern in her Hand (1928),"Bess Streeter Aldrich, 1881-1954",http://gutenberg.net.au/ebooks05/0500521.txt
102,A Lesson in Tactics,"""Dunbar"" a.k.a. Frederick William Mole",http://gutenberg.net.au/ebooks19/1900371.txt
103,A Little Book of Canadian Essays,"Burpee, Lawrence Johnstone (1873-1946)",https://gutenberg.ca/ebooks/burpee-essays/burpee-essays-00-t.txt
104,A London Reverie. Fifty-six drawings,"Squire, John Collings (1884-1958)",https://gutenberg.ca/ebooks/squirepennell-reverie/squirepennell-reverie-00-t.txt
105,A Lost Lady (1923),Willa Cather,http://gutenberg.net.au/ebooks02/0200451.txt
106,A Lost Lady of Old Years. A Romance.,"Buchan, John (1875-1940)",https://gutenberg.ca/ebooks/buchanj-lostlady/buchanj-lostlady-00-t.txt
107,A Lost Life,Author unknown,http://gutenberg.net.au/ebooks11/1100461.txt
108,A Lover's Litanies,"Mackay, George Eric (1851-1898)",https://gutenberg.ca/ebooks/mackay-litanies/mackay-litanies-00-t.txt
109,A Lowden Sabbath Morn,"Stevenson, Robert Louis (1850-1894)",https://gutenberg.ca/ebooks/stevensonrl-lowdensabbathmorn/stevensonrl-lowdensabbathmorn-00-t.txt
110,A Mad Marriage. A Novel.,"Fleming, May Agnes (1840-1880)",https://gutenberg.ca/ebooks/flemingma-madmarriage/flemingma-madmarriage-00-t.txt
111,A Maid of Many Moods,"Sheard, Virna (ca. 1865-1943)",https://gutenberg.ca/ebooks/sheardv-maidofmanymoods/sheardv-maidofmanymoods-00-t.txt
112,A Man Could Stand Up,Ford Madox Ford,http://gutenberg.net.au/ebooks07/0700191.txt
113,A Man Could Stand Up--. A Novel.,"Ford, Ford Madox [Hueffer, Ford Madox] (1873-1939)",https://gutenberg.ca/ebooks/fordfm-amancouldstandup/fordfm-amancouldstandup-00-t.txt
114,A Man Divided,Olaf Stapledon,http://gutenberg.net.au/ebooks06/0601331.txt
115,A Man's Life (1929),Arthur H Adams (1872-1936),http://gutenberg.net.au/ebooks08/0800931.txt
116,A Martian Odyssey,Stanley G. Weinbaum,http://gutenberg.net.au/ebooks06/0601191.txt
117,A Miner's Million,John Monk Foster,http://gutenberg.net.au/ebooks15/1500541.txt
118,A Modern Cinderella,"Douglas, Amanda Minnie (1831-1916)",https://gutenberg.ca/ebooks/douglasam-cinderella/douglasam-cinderella-00-t.txt
119,A Modern Scrooge,Fred M White,http://gutenberg.net.au/ebooks16/1601311.txt
120,A Month a Minute,"Farley, Ralph Milne [Hoar, Roger Sherman] (1887-1963)",https://gutenberg.ca/ebooks/farleyrm-amonthaminute/farleyrm-amonthaminute-00-t.txt
121,A Moon for the Misbegotten (1952),Eugene O'Neill (1888-1953),http://gutenberg.net.au/ebooks04/0400041.txt
122,A Mummer's Throne,Fred M White,http://gutenberg.net.au/ebooks10/1000621.txt
123,A Mysterious Portrait,Mark Rutherford,http://gutenberg.net.au/ebooks06/0606361.txt
124,A Neighbour's Landmark,"James, Montague Rhodes (1862-1936)",https://gutenberg.ca/ebooks/james-landmark/james-landmark-00-t.txt
125,A New Christmas Carol,Arthur Machen,http://gutenberg.net.au/ebooks07/0700371.txt
126,A New Voyage Round the World,William Dampier,http://gutenberg.net.au/ebooks05/0500461.txt
127,A Night at an Inn. A Play in One Act.,"Lord Dunsany [Edward John Moreton Drax Plunkett,",https://gutenberg.ca/ebooks/dunsany-night/dunsany-night-00-t.txt
128,A Night in Monk-Hall,George Lippard,http://gutenberg.net.au/ebooks06/0605911.txt
129,A Night In Rome,William Harrison Ainsworth,http://gutenberg.net.au/ebooks06/0602961.txt
130,A Novel Without a Name,William Aubrey Burnage,http://gutenberg.net.au/ebooks15/1500381.txt
131,A Pair of Handcuffs,Fred M White,http://gutenberg.net.au/ebooks12/1200751.txt
132,A People's Man,E. Phillips Oppenheim,http://gutenberg.net.au/ebooks12/1202101.txt
133,A Pit-brow Lassie,John Monk Foster,http://gutenberg.net.au/ebooks17/1700401.txt
134,A Plague of Butterflies,Fred M White,http://gutenberg.net.au/ebooks16/1601381.txt
135,A Planet Named Shayol,"Smith, Cordwainer [Linebarger, Paul Myron Anthony]",https://gutenberg.ca/ebooks/smithcordwainer-planetnamedshayol/smithcordwainer-planetnamedshayol-00-t.txt
136,A Plea for Time,Harold A. Innis (1894-1952),https://gutenberg.ca/ebooks/innis-plea/innis-plea-00-t.txt
137,A Popular Novelist,Fred M White,http://gutenberg.net.au/ebooks11/1100741.txt
138,A Prayer for my Son,Hugh Walpole,http://gutenberg.net.au/ebooks06/0600041.txt
139,A Prince Of Sinners,E. Phillips Oppenheim,http://gutenberg.net.au/ebooks12/1202091.txt
140,A Prince of the Captivity,"Buchan, John (1875-1940)",https://gutenberg.ca/ebooks/buchanj-princeofthecaptivity/buchanj-princeofthecaptivity-00-t.txt
141,A Prince of the Captivity (1933),John Buchan,http://gutenberg.net.au/ebooks03/0301401.txt
142,"A Proclamation, To such as are desirous to Settle on","Simcoe, John Graves (1752-1806)",https://gutenberg.ca/ebooks/simcoe-proclam1792/simcoe-proclam1792-00-t.txt
143,A Professor of Egyptology,Guy Boothby,http://gutenberg.net.au/ebooks06/0601581.txt
144,A Queen in Hiding,Fred M. White,http://gutenberg.net.au/ebooks12/1200021.txt
145,A Queen of the Stage,Fred M White,http://gutenberg.net.au/ebooks13/1304181.txt
146,A Raw Youth,Fyodor Dostoevsky (1821-1881),http://gutenberg.net.au/ebooks01/0100161.txt
147,A Romance of Canvas Town And Other Stories,Rolf Boldrewood,http://gutenberg.net.au/ebooks06/0607131.txt
148,A Romance of Kangaroo Point,Dramingo (Ernest Favenc),http://gutenberg.net.au/ebooks10/1000831.txt
149,A Room of One's Own,Virginia Woolf,http://gutenberg.net.au/ebooks02/0200791.txt
150,A Room of One's Own,"Woolf, Virginia [Adeline Virginia] (1882-1941)",https://gutenberg.ca/ebooks/woolfv-aroomofonesown/woolfv-aroomofonesown-00-t.txt
151,A Rope of Snow,Fred M White,http://gutenberg.net.au/ebooks10/1000411.txt
152,A Royal Wrong,Fred M White,http://gutenberg.net.au/ebooks11/1100401.txt
153,A Satisfactory Reference,Fred M White,http://gutenberg.net.au/ebooks12/1201651.txt
154,A School Story,"James, Montague Rhodes (1862-1936)",https://gutenberg.ca/ebooks/james-school/james-school-00-t.txt
155,A Search for America (1927),Frederick Philip Grove (1879-1948),http://gutenberg.net.au/ebooks03/0300631.txt
156,A Secret Service,Fred. M. White,http://gutenberg.net.au/ebooks10/1000221.txt
157,A Self-Made Thief,Hulbert Footner,http://gutenberg.net.au/ebooks08/0801291.txt
158,A Sequel To A Voyage to Botany Bay,George Barrington,http://gutenberg.net.au/ebooks06/0607431.txt
159,A Shadowed Love,Fred M White,http://gutenberg.net.au/ebooks13/1303001.txt
160,A Shilling for Candles,"Tey, Josephine [MacKintosh, Elizabeth] (1896-1952)",https://gutenberg.ca/ebooks/teyj-shillingforcandles/teyj-shillingforcandles-00-t.txt
161,A Shilling for Candles (1936),Josephine Tey,http://gutenberg.net.au/ebooks08/0800901.txt
162,A Short History of Australia,Ernest Scott (1868-1939),http://gutenberg.net.au/ebooks02/0200471.txt
163,A Silent Witness (1914),R. Austin Freeman,http://gutenberg.net.au/ebooks03/0301591.txt
